"","from","to","type1","type2","gene1","gene2","db","pcl1","pcl2","pcl3"
"113","TSC2","ENSG00000107186","M","T","TSC2","MPDZ",TRUE,0.368289637952559,0.891385767790262,0.344569288389513
"114","TSC2","ENSG00000103197","M","T","TSC2","TSC2",FALSE,0.601747815230961,0.887640449438202,0.440699126092385
"115","TSC2","P11441","M","P","TSC2","UBL4A",FALSE,0.339575530586767,0.667915106117353,0.444444444444444
"116","TSC2","P07910_S299","M","PP","TSC2","HNRNPC",FALSE,0.885143570536829,0.158551810237203,0.347066167290886
"117","TSC2","Q9NYF8_S397","M","PP","TSC2","BCLAF1",FALSE,0.339575530586767,0.230961298377029,0.858926342072409
"118","TSC2","P35568_S330","M","PP","TSC2","IRS1",TRUE,0.33083645443196,0.747815230961298,0.385767790262172
"119","MCL1","Q07820","CN","P","MCL1","MCL1",FALSE,0.797752808988764,0.240948813982522,0.218476903870162
"128","CPNE3","O75131","CN","P","CPNE3","CPNE3",FALSE,0.781523096129838,0.406991260923845,0.111111111111111
"145","O14980","ENSG00000196159","P","T","XPO1","FAT4",FALSE,0.280898876404494,0.799001248439451,0.210986267166042
"146","O14980","ENSG00000197771","P","T","XPO1","MCMBP",TRUE,0.375780274656679,0.797752808988764,0.287141073657928
"147","O14980","ENSG00000089159","P","T","XPO1","PXN",TRUE,0.526841448189763,0.33832709113608,0.670411985018727
"148","O14980","ENSG00000182481","P","T","XPO1","KPNA2",TRUE,0.428214731585518,0.541822721598002,0.267166042446941
"149","O14980","Q13895","P","P","XPO1","BYSL",TRUE,0.419475655430712,0.845193508114856,0.81772784019975
"151","O75131","ENSG00000107317","P","T","CPNE3","PTGDS",FALSE,0.47565543071161,0.716604244694132,0.31960049937578
"152","O75131","ENSG00000131778","P","T","CPNE3","CHD1L",FALSE,0.240948813982522,0.197253433208489,0.892634207240949
"153","O75131","ENSG00000134057","P","T","CPNE3","CCNB1",FALSE,0.235955056179775,0.441947565543071,0.863920099875156
"154","O75131","ENSG00000106211","P","T","CPNE3","HSPB1",FALSE,0.249687890137328,0.716604244694132,0.263420724094881
"155","O75131","ENSG00000172915","P","T","CPNE3","NBEA",FALSE,0.796504369538077,0.279650436953808,0.543071161048689
"156","O75131","ENSG00000108846","P","T","CPNE3","ABCC3",FALSE,0.352059925093633,0.16354556803995,0.861423220973783
"157","O75131","ENSG00000102178","P","T","CPNE3","UBL4A",FALSE,0.380774032459426,0.863920099875156,0.225967540574282
"158","O75376","ENSG00000168036","P","T","NCOR1","CTNNB1",TRUE,0.426966292134831,0.18976279650437,0.863920099875156
"163","P02768","ENSG00000185686","P","T","ALB","PRAME",TRUE,0.237203495630462,0.772784019975031,0.272159800249688
"164","P02768","ENSG00000196616","P","T","ALB","ADH1B",TRUE,0.229712858926342,0.18227215980025,0.897627965043695
"165","P02768","ENSG00000112578","P","T","ALB","BYSL",FALSE,0.727840199750312,0.233458177278402,0.795255930087391
"166","P02768","ENSG00000108846","P","T","ALB","ABCC3",TRUE,0.876404494382023,0.294631710362047,0.157303370786517
"170","P04114","P02768","P","P","APOB","ALB",TRUE,0.852684144818976,0.377028714107366,0.299625468164794
"174","P04792","ENSG00000156508","P","T","HSPB1","EEF1A1",TRUE,0.586766541822722,0.207240948813983,0.508114856429463
"185","P16422","ENSG00000168036","P","T","EPCAM","CTNNB1",TRUE,0.756554307116105,0.304619225967541,0.248439450686642
"186","P23229","ENSG00000007062","P","T","ITGA6","PROM1",TRUE,0.318352059925094,0.846441947565543,0.0686641697877653
"187","P23229","ENSG00000124788","P","T","ITGA6","ATXN1",FALSE,0.304619225967541,0.82896379525593,0.18227215980025
"188","P23229","ENSG00000161800","P","T","ITGA6","RACGAP1",FALSE,0.255930087390762,0.868913857677903,0.209737827715356
"189","P23229","ENSG00000089159","P","T","ITGA6","PXN",TRUE,0.600499375780275,0.392009987515606,0.297128589263421
"190","P23229","ENSG00000139687","P","T","ITGA6","RB1",TRUE,0.131086142322097,0.595505617977528,0.726591760299625
"191","P23229","ENSG00000124207","P","T","ITGA6","CSE1L",FALSE,0.18976279650437,0.66916354556804,0.458177278401998
"192","P23229","Q9NU22","P","P","ITGA6","MDN1",FALSE,0.237203495630462,0.188514357053683,0.816479400749064
"194","P35222","ENSG00000196159","P","T","CTNNB1","FAT4",TRUE,0.488139825218477,0,0.724094881398252
"195","P35222","O75376","P","P","CTNNB1","NCOR1",TRUE,0.429463171036205,0.16729088639201,0.719101123595506
"196","P35222","P24298","P","P","CTNNB1","GPT",TRUE,0.309612983770287,0.573033707865168,0.717852684144819
"197","P35222","P49913","P","P","CTNNB1","CAMP",FALSE,0.362047440699126,0.897627965043695,0.169787765293383
"198","P35222","Q86V81","P","P","CTNNB1","ALYREF",TRUE,0.377028714107366,0.553058676654182,0.389513108614232
"199","P35222","P61978_S216","P","PP","CTNNB1","HNRNPK",TRUE,0.699126092384519,0.384519350811486,0.433208489388265
"202","P42262","ENSG00000168036","P","T","GRIA2","CTNNB1",TRUE,0.222222222222222,0.433208489388265,0.887640449438202
"203","P42345","ENSG00000172955","P","T","MTOR","ADH6",FALSE,0.712858926342072,0.0948813982521848,0.399500624219725
"204","P42345","ENSG00000048392","P","T","MTOR","RRM2B",TRUE,0.372034956304619,0.348314606741573,0.606741573033708
"205","P42345","ENSG00000185122","P","T","MTOR","HSF1",TRUE,0.816479400749064,0.586766541822722,0.314606741573034
"206","P42345","ENSG00000110092","P","T","MTOR","CCND1",TRUE,0.263420724094881,0.254681647940075,0.745318352059925
"207","P42345","ENSG00000103197","P","T","MTOR","TSC2",TRUE,0.887640449438202,0.3458177278402,0.406991260923845
